Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Order Year,Order Month,Order Quarter,Days to Ship,Profit Margin %,Revenue per Unit,Discount Band
1,CA-2018-121080,2011-01-03,2011-01-06,First Class,CG-10755,Thomas White,Corporate,Toronto,Ontario,Canada,North America,North America,OFF-BI-10054,Office Supplies,Binders,Cardinal Slant-D,537.6,7,0.0,285.49,14.44,High,2011,1,1,3,53.10453869047619,76.8,No Discount
2,CA-2014-100194,2011-01-04,2011-01-11,Standard Class,CG-10748,Jane Clark,Home Office,Brasília,Distrito Federal,Brazil,LATAM,LATAM,TEC-MA-10011,Technology,Machines,Dymo LabelWriter,1095.23,1,0.0,326.57,41.16,Low,2011,1,1,7,29.81748125964409,1095.23,No Discount
3,CA-2014-104965,2011-01-07,2011-01-13,Second Class,CG-11055,William Smith,Corporate,Jeddah,Makkah,Saudi Arabia,EMEA,EMEA,TEC-PH-10033,Technology,Phones,Motorola Moto G,5802.65,5,0.0,1702.71,165.27,High,2011,1,1,6,29.34366194755845,1160.53,No Discount
4,CA-2019-129057,2011-01-08,2011-01-12,Second Class,CG-11021,Ashley Walker,Consumer,Houston,Texas,United States,North America,North America,TEC-MA-10018,Technology,Machines,Epson LabelWorks,1655.58,2,0.0,505.12,236.76,High,2011,1,1,4,30.51015354135711,827.79,No Discount
5,CA-2017-118139,2011-01-14,2011-01-18,First Class,CG-11109,Chris Brown,Consumer,Tokyo,Tokyo,Japan,Asia Pacific,Asia Pacific,TEC-AC-10062,Technology,Accessories,Belkin Surge Protector,149.7,1,0.2,39.79,2.49,Medium,2011,1,1,4,26.579826319305276,149.7,Medium (11-30%)
6,CA-2021-137341,2011-01-15,2011-01-15,Same Day,CG-10495,William Walker,Consumer,Jeddah,Makkah,Saudi Arabia,EMEA,EMEA,OFF-EN-10061,Office Supplies,Envelopes,Peel & Seel,158.38,5,0.3,9.59,1.43,Medium,2011,1,1,0,6.055057456749589,31.676,Medium (11-30%)
7,CA-2020-131388,2011-01-15,2011-01-22,Standard Class,CG-11560,Kevin Johnson,Consumer,Los Angeles,California,United States,North America,North America,FUR-FU-10001,Furniture,Furnishings,Howard Miller Clock,279.84,2,0.2,50.7,11.2,Low,2011,1,1,7,18.11749571183534,139.92,Medium (11-30%)
8,CA-2020-131158,2011-01-16,2011-01-23,Standard Class,CG-10650,William Smith,Consumer,Birmingham,England,United Kingdom,Europe,Europe,TEC-CO-10006,Technology,Computers,Asus VivoBook,2150.1,4,0.6,-900.59,147.08,Medium,2011,1,1,7,-41.8859587926143,537.525,Very High (>50%)
9,CA-2015-109617,2011-01-17,2011-01-20,First Class,CG-11400,Michael Miller,Corporate,Manchester,England,United Kingdom,Europe,Europe,OFF-BI-10054,Office Supplies,Binders,Cardinal Slant-D,43.1,1,0.3,5.8,0.67,High,2011,1,1,3,13.45707656612529,43.1,Medium (11-30%)
10,CA-2019-127761,2011-01-18,2011-01-27,Standard Class,CG-11007,Lauren Martinez,Corporate,Seattle,Washington,United States,North America,North America,OFF-ST-10047,Office Supplies,Storage,Rogers File Boxes,117.2,3,0.3,4.96,8.6,High,2011,1,1,9,4.2320819112627985,39.06666666666667,Medium (11-30%)
11,CA-2022-141238,2011-01-19,2011-01-23,Second Class,CG-10983,Jessica Garcia,Consumer,Mumbai,Maharashtra,India,Asia Pacific,Asia Pacific,TEC-CO-10074,Technology,Computers,Dell Inspiron 15,1092.06,1,0.1,152.29,17.84,High,2011,1,1,4,13.945204475944545,1092.06,Low (1-10%)
12,CA-2020-131041,2011-01-19,2011-01-25,Second Class,CG-11056,Rachel White,Consumer,Paris,Île-de-France,France,Europe,Europe,TEC-CO-10031,Technology,Computers,HP Pavilion 14,1017.88,4,0.5,-257.72,89.74,Medium,2011,1,1,6,-25.319291075568835,254.47,High (31-50%)
13,CA-2018-121221,2011-01-20,2011-01-29,Standard Class,CG-11003,Thomas Johnson,Corporate,Lyon,Auvergne-Rhône-Alpes,France,Europe,Europe,FUR-ST-10034,Furniture,Storage,Cardinal Hold-All,426.0,2,0.0,134.18,56.44,Medium,2011,1,1,9,31.497652582159624,213.0,No Discount
14,CA-2015-109178,2011-01-21,2011-01-30,Standard Class,CG-11540,Jessica Davis,Consumer,Berlin,Berlin,Germany,Europe,Europe,OFF-SU-10036,Office Supplies,Supplies,Staples #10,118.26,2,0.0,33.74,15.85,High,2011,1,1,9,28.530356840859124,59.13,No Discount
15,CA-2014-103370,2011-01-22,2011-01-26,Second Class,CG-11517,David Garcia,Corporate,Berlin,Berlin,Germany,Europe,Europe,TEC-CO-10089,Technology,Copiers,Canon imageRUNNER,8460.1,5,0.0,2234.18,397.86,Low,2011,1,1,4,26.408434888476496,1692.02,No Discount
16,CA-2020-133603,2011-01-22,2011-01-26,Second Class,CG-11371,Ashley White,Corporate,São Paulo,São Paulo,Brazil,LATAM,LATAM,TEC-PH-10041,Technology,Phones,Nokia 3310,679.29,1,0.1,83.75,35.17,Medium,2011,1,1,4,12.329049448689073,679.29,Low (1-10%)
