order_id,order_date,year,month,quarter,region,segment,category,sub_category,sales,profit,quantity,discount,customer_id,customer_name,product_name,ship_mode,profit_margin
CA-2011-130813,2011-01-07,2011,1,1,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,LS-172304,Lycoris Saunders,Xerox 225,Second Class,0.49111578947368423
CA-2011-148614,2011-01-21,2011,1,1,West,Consumer,Office Supplies,Paper,19,9.2928,2,0.0,MV-174854,Mark Van Huff,"Wirebound Service Call Books, 5 1/2"" x 4""",Standard Class,0.48909473684210525
CA-2011-118962,2011-08-05,2011,8,3,West,Consumer,Office Supplies,Paper,21,9.8418,3,0.0,CS-121304,Chad Sievert,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6â x 11â",Standard Class,0.4686571428571428
CA-2011-118962,2011-08-05,2011,8,3,West,Consumer,Office Supplies,Paper,111,53.2608,2,0.0,CS-121304,Chad Sievert,Xerox 1913,Standard Class,0.47982702702702706
CA-2011-146969,2011-09-29,2011,9,3,West,Consumer,Office Supplies,Paper,6,3.1104,1,0.0,AP-109154,Arthur Prichep,Xerox 223,Standard Class,0.5184
CA-2011-117317,2011-10-19,2011,10,4,West,Consumer,Office Supplies,Paper,13,6.5856,3,0.0,JF-154904,Jeremy Farry,Spiral Phone Message Books with Labels by Adams,Same Day,0.5065846153846154
CA-2011-125829,2011-11-04,2011,11,4,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,WB-218504,William Brown,Xerox 2000,Standard Class,0.49111578947368423
CA-2011-151295,2011-11-12,2011,11,4,West,Consumer,Office Supplies,Paper,12,5.8604,2,0.0,JA-159704,Joseph Airdo,Xerox 1974,Standard Class,0.48836666666666667
CA-2011-135090,2011-11-22,2011,11,4,West,Consumer,Office Supplies,Paper,54,24.219,9,0.0,SP-209204,Susan Pistek,Xerox 1895,Standard Class,0.4485
CA-2011-133830,2011-12-05,2011,12,4,West,Consumer,Office Supplies,Paper,49,23.0864,4,0.0,RL-196154,Rob Lucas,Xerox 1933,Standard Class,0.4711510204081633
CA-2011-113579,2011-12-13,2011,12,4,West,Consumer,Office Supplies,Paper,90,41.5104,6,0.0,KD-163454,Katherine Ducich,White GlueTop Scratch Pads,Second Class,0.4612266666666666
CA-2012-116092,2012-02-15,2012,2,1,West,Consumer,Office Supplies,Paper,13,6.4128,2,0.0,JM-161954,Justin MacKendrick,Xerox 1959,Second Class,0.4932923076923077
CA-2012-116092,2012-02-15,2012,2,1,West,Consumer,Office Supplies,Paper,19,9.3312,3,0.0,JM-161954,Justin MacKendrick,Xerox 22,Second Class,0.49111578947368423
