customer_id,customer_name,segment,total_orders,total_spent,total_profit,avg_discount,value_segment,segment_threshold_high,segment_threshold_low
AA-103151,Alex Avila,Consumer,5,1445.0,12.88,0.27,Mid Value,3763.0,728.0
AA-103152,Alex Avila,Consumer,7,6105.0,568.74,0.041,High Value,3763.0,728.0
AA-103153,Alex Avila,Consumer,2,633.0,228.96,0.0,Low Value,3763.0,728.0
AA-103154,Alex Avila,Consumer,5,5565.0,-362.88,0.091,High Value,3763.0,728.0
AA-103751,Allen Armold,Consumer,4,2407.0,577.94,0.067,Mid Value,3763.0,728.0
AA-103752,Allen Armold,Consumer,3,560.0,-60.26,0.2,Low Value,3763.0,728.0
AA-103753,Allen Armold,Consumer,7,1861.0,-117.58,0.345,Mid Value,3763.0,728.0
AA-103754,Allen Armold,Consumer,9,1056.0,277.38,0.08,Mid Value,3763.0,728.0
AA-104801,Andrew Allen,Consumer,5,5946.0,601.39,0.205,High Value,3763.0,728.0
AA-104802,Andrew Allen,Consumer,7,5253.0,191.0,0.055,High Value,3763.0,728.0
AA-104803,Andrew Allen,Consumer,4,4704.0,288.26,0.1,High Value,3763.0,728.0
AA-104804,Andrew Allen,Consumer,4,1792.0,435.83,0.017,Mid Value,3763.0,728.0
AA-106451,Anna Andreadi,Consumer,12,5264.0,1578.08,0.16,High Value,3763.0,728.0
AA-106452,Anna Andreadi,Consumer,9,2730.0,219.06,0.125,Mid Value,3763.0,728.0
AA-106453,Anna Andreadi,Consumer,9,2263.0,396.5,0.147,Mid Value,3763.0,728.0
AA-106454,Anna Andreadi,Consumer,6,5087.0,857.8,0.064,High Value,3763.0,728.0
AA-3151,Alex Avila,Consumer,1,11.0,4.29,0.0,Low Value,3763.0,728.0
AA-3152,Alex Avila,Consumer,6,2234.0,531.28,0.257,Mid Value,3763.0,728.0
AA-3751,Allen Armold,Consumer,4,365.0,49.48,0.117,Low Value,3763.0,728.0
AA-3752,Allen Armold,Consumer,1,27.0,11.28,0.0,Low Value,3763.0,728.0
AA-3753,Allen Armold,Consumer,3,261.0,16.68,0.2,Low Value,3763.0,728.0
AA-4801,Andrew Allen,Consumer,2,496.0,25.68,0.0,Low Value,3763.0,728.0
AA-4802,Andrew Allen,Consumer,1,1085.0,488.1,0.0,Mid Value,3763.0,728.0
AA-4803,Andrew Allen,Consumer,2,482.0,40.83,0.525,Low Value,3763.0,728.0
AA-6451,Anna Andreadi,Consumer,8,1503.0,-820.42,0.513,Mid Value,3763.0,728.0
AA-6452,Anna Andreadi,Consumer,3,465.0,212.07,0.0,Low Value,3763.0,728.0
AB-100151,Aaron Bergman,Consumer,9,10662.0,1772.71,0.189,High Value,3763.0,728.0
AB-100152,Aaron Bergman,Consumer,12,6116.0,1122.89,0.09,High Value,3763.0,728.0
AB-100153,Aaron Bergman,Consumer,8,2375.0,694.54,0.071,Mid Value,3763.0,728.0
AB-100154,Aaron Bergman,Consumer,3,887.0,129.35,0.067,Mid Value,3763.0,728.0
AB-100601,Adam Bellavance,Home Office,9,2107.0,320.28,0.212,Mid Value,3763.0,728.0
AB-100602,Adam Bellavance,Home Office,5,3345.0,1020.07,0.086,Mid Value,3763.0,728.0
AB-100603,Adam Bellavance,Home Office,10,5210.0,1119.13,0.147,High Value,3763.0,728.0
AB-100604,Adam Bellavance,Home Office,8,7757.0,2054.59,0.044,High Value,3763.0,728.0
AB-101051,Adrian Barton,Consumer,7,4309.0,1451.61,0.093,High Value,3763.0,728.0
AB-101052,Adrian Barton,Consumer,6,2949.0,276.92,0.169,Mid Value,3763.0,728.0
AB-101053,Adrian Barton,Consumer,10,1234.0,-260.72,0.24,Mid Value,3763.0,728.0
AB-101054,Adrian Barton,Consumer,10,14476.0,5444.81,0.24,High Value,3763.0,728.0
AB-101501,Aimee Bixby,Consumer,4,429.0,92.79,0.1,Low Value,3763.0,728.0
AB-101502,Aimee Bixby,Consumer,6,9139.0,1009.51,0.054,High Value,3763.0,728.0
AB-101503,Aimee Bixby,Consumer,9,2523.0,648.25,0.145,Mid Value,3763.0,728.0
AB-101504,Aimee Bixby,Consumer,5,969.0,313.66,0.133,Mid Value,3763.0,728.0
